counts,shots,job_id
"{'1': 521, '0': 503}",1024,478
"{'1': 514, '0': 510}",1024,479
"{'0': 509, '1': 515}",1024,480
"{'1': 543, '0': 481}",1024,481
"{'0': 522, '1': 502}",1024,482
"{'0': 522, '1': 502}",1024,483
"{'0': 536, '1': 488}",1024,484
"{'0': 545, '1': 479}",1024,485
"{'1': 480, '0': 544}",1024,486
"{'0': 524, '1': 500}",1024,487
"{'1': 526, '0': 498}",1024,488
"{'0': 525, '1': 499}",1024,489
"{'1': 510, '0': 514}",1024,490
"{'0': 523, '1': 501}",1024,491
"{'0': 492, '1': 532}",1024,492
"{'1': 515, '0': 509}",1024,493
"{'0': 542, '1': 482}",1024,494
"{'1': 524, '0': 500}",1024,495
"{'1': 497, '0': 527}",1024,496
"{'1': 503, '0': 521}",1024,497
"{'0': 499, '1': 525}",1024,498
"{'0': 527, '1': 497}",1024,499
"{'1': 529, '0': 495}",1024,500
"{'0': 505, '1': 519}",1024,501
"{'1': 473, '0': 551}",1024,502
"{'1': 502, '0': 522}",1024,503
"{'0': 510, '1': 514}",1024,504
"{'0': 506, '1': 518}",1024,505
"{'1': 495, '0': 529}",1024,506
"{'0': 498, '1': 526}",1024,507
"{'1': 508, '0': 516}",1024,508
"{'1': 505, '0': 519}",1024,509
"{'1': 509, '0': 515}",1024,510
"{'0': 513, '1': 511}",1024,511
"{'1': 494, '0': 530}",1024,512
"{'1': 540, '0': 484}",1024,513
"{'0': 494, '1': 530}",1024,514
"{'1': 523, '0': 501}",1024,515
"{'1': 510, '0': 514}",1024,516
"{'0': 524, '1': 500}",1024,517
"{'0': 510, '1': 514}",1024,518
"{'0': 516, '1': 508}",1024,519
"{'1': 520, '0': 504}",1024,520
"{'1': 512, '0': 512}",1024,521
"{'1': 515, '0': 509}",1024,522
"{'1': 501, '0': 523}",1024,523
"{'1': 486, '0': 538}",1024,524
"{'1': 525, '0': 499}",1024,525
"{'0': 495, '1': 529}",1024,526
"{'1': 505, '0': 519}",1024,527
"{'1': 513, '0': 511}",1024,528
"{'1': 508, '0': 516}",1024,529
"{'1': 504, '0': 520}",1024,530
"{'1': 523, '0': 501}",1024,531
"{'1': 500, '0': 524}",1024,532
"{'1': 523, '0': 501}",1024,533
"{'0': 526, '1': 498}",1024,534
"{'1': 531, '0': 493}",1024,535
"{'1': 518, '0': 506}",1024,536
"{'1': 493, '0': 531}",1024,537
"{'0': 528, '1': 496}",1024,538
"{'1': 516, '0': 508}",1024,539
"{'1': 521, '0': 503}",1024,540
"{'0': 522, '1': 502}",1024,541
"{'0': 524, '1': 500}",1024,542
"{'0': 520, '1': 504}",1024,543
"{'0': 515, '1': 509}",1024,544
"{'0': 503, '1': 521}",1024,545
"{'0': 496, '1': 528}",1024,546
"{'0': 518, '1': 506}",1024,547
"{'1': 527, '0': 497}",1024,548
"{'0': 485, '1': 539}",1024,549
"{'0': 489, '1': 535}",1024,550
"{'1': 499, '0': 525}",1024,551
"{'0': 492, '1': 532}",1024,552
"{'0': 501, '1': 523}",1024,553
"{'1': 508, '0': 516}",1024,554
"{'0': 521, '1': 503}",1024,555
"{'0': 521, '1': 503}",1024,556
"{'0': 508, '1': 516}",1024,557
"{'0': 494, '1': 530}",1024,558
"{'1': 528, '0': 496}",1024,559
"{'0': 527, '1': 497}",1024,560
"{'0': 488, '1': 536}",1024,561
"{'1': 495, '0': 529}",1024,562
"{'0': 514, '1': 510}",1024,563
"{'0': 524, '1': 500}",1024,564
"{'1': 526, '0': 498}",1024,565
"{'0': 529, '1': 495}",1024,566
"{'0': 512, '1': 512}",1024,567
"{'1': 498, '0': 526}",1024,568
"{'0': 520, '1': 504}",1024,569
"{'0': 552, '1': 472}",1024,570
"{'0': 506, '1': 518}",1024,571
"{'0': 494, '1': 530}",1024,572
"{'0': 493, '1': 531}",1024,573
"{'1': 524, '0': 500}",1024,574
"{'1': 478, '0': 546}",1024,575
"{'0': 496, '1': 528}",1024,576
"{'0': 532, '1': 492}",1024,577
"{'0': 511, '1': 513}",1024,578
"{'1': 551, '0': 473}",1024,579
"{'0': 496, '1': 528}",1024,580
"{'1': 512, '0': 512}",1024,581
"{'1': 490, '0': 534}",1024,582
"{'0': 496, '1': 528}",1024,583
"{'1': 499, '0': 525}",1024,584
"{'1': 523, '0': 501}",1024,585
"{'1': 523, '0': 501}",1024,586
"{'1': 505, '0': 519}",1024,587
"{'1': 527, '0': 497}",1024,588
"{'0': 509, '1': 515}",1024,589
"{'1': 518, '0': 506}",1024,590
"{'1': 525, '0': 499}",1024,591
"{'1': 513, '0': 511}",1024,592
"{'1': 510, '0': 514}",1024,593
"{'0': 505, '1': 519}",1024,594
"{'0': 509, '1': 515}",1024,595
"{'1': 499, '0': 525}",1024,596
"{'0': 512, '1': 512}",1024,597
"{'0': 510, '1': 514}",1024,598
"{'0': 498, '1': 526}",1024,599
"{'1': 513, '0': 511}",1024,600
"{'0': 505, '1': 519}",1024,601
"{'0': 502, '1': 522}",1024,602
"{'0': 518, '1': 506}",1024,603
"{'1': 481, '0': 543}",1024,604
"{'0': 512, '1': 512}",1024,605
"{'0': 519, '1': 505}",1024,606
"{'0': 516, '1': 508}",1024,607
"{'1': 500, '0': 524}",1024,608
"{'0': 498, '1': 526}",1024,609
"{'0': 500, '1': 524}",1024,610
"{'1': 490, '0': 534}",1024,611
"{'1': 511, '0': 513}",1024,612
"{'1': 515, '0': 509}",1024,613
"{'1': 523, '0': 501}",1024,614
"{'0': 473, '1': 551}",1024,615
"{'0': 522, '1': 502}",1024,616
"{'0': 488, '1': 536}",1024,617
"{'0': 508, '1': 516}",1024,618
"{'1': 517, '0': 507}",1024,619
"{'0': 510, '1': 514}",1024,620
"{'0': 530, '1': 494}",1024,621
"{'1': 514, '0': 510}",1024,622
"{'1': 508, '0': 516}",1024,623
"{'1': 506, '0': 518}",1024,624
"{'1': 506, '0': 518}",1024,625
"{'1': 510, '0': 514}",1024,626
"{'1': 509, '0': 515}",1024,627
"{'0': 514, '1': 510}",1024,628
"{'1': 498, '0': 526}",1024,629
"{'0': 525, '1': 499}",1024,630
"{'1': 528, '0': 496}",1024,631
"{'1': 481, '0': 543}",1024,632
"{'0': 476, '1': 548}",1024,633
"{'1': 507, '0': 517}",1024,634
"{'1': 518, '0': 506}",1024,635
"{'1': 505, '0': 519}",1024,636
"{'1': 499, '0': 525}",1024,637
"{'0': 506, '1': 518}",1024,638
"{'0': 515, '1': 509}",1024,639
"{'0': 534, '1': 490}",1024,640
"{'0': 538, '1': 486}",1024,641
"{'0': 519, '1': 505}",1024,642
"{'0': 498, '1': 526}",1024,643
"{'0': 491, '1': 533}",1024,644
"{'0': 532, '1': 492}",1024,645
"{'0': 463, '1': 561}",1024,646
"{'1': 521, '0': 503}",1024,647
"{'1': 513, '0': 511}",1024,648
"{'0': 474, '1': 550}",1024,649
"{'0': 514, '1': 510}",1024,650
"{'1': 513, '0': 511}",1024,651
"{'0': 522, '1': 502}",1024,652
"{'0': 504, '1': 520}",1024,653
"{'0': 518, '1': 506}",1024,654
"{'0': 555, '1': 469}",1024,655
"{'1': 513, '0': 511}",1024,656
"{'0': 507, '1': 517}",1024,657
"{'1': 516, '0': 508}",1024,658
"{'1': 511, '0': 513}",1024,659
"{'1': 485, '0': 539}",1024,660
"{'0': 523, '1': 501}",1024,661
"{'0': 507, '1': 517}",1024,662
"{'1': 518, '0': 506}",1024,663
"{'1': 518, '0': 506}",1024,664
"{'0': 511, '1': 513}",1024,665
"{'0': 528, '1': 496}",1024,666
"{'1': 522, '0': 502}",1024,667
"{'1': 493, '0': 531}",1024,668
"{'1': 512, '0': 512}",1024,669
"{'1': 524, '0': 500}",1024,670
"{'1': 525, '0': 499}",1024,671
"{'1': 517, '0': 507}",1024,672
"{'1': 485, '0': 539}",1024,673
"{'1': 512, '0': 512}",1024,674
"{'1': 551, '0': 473}",1024,675
"{'0': 517, '1': 507}",1024,676
"{'1': 540, '0': 484}",1024,677
"{'1': 517, '0': 507}",1024,678
"{'1': 509, '0': 515}",1024,679
"{'1': 523, '0': 501}",1024,680
"{'1': 518, '0': 506}",1024,681
"{'1': 524, '0': 500}",1024,682
"{'0': 473, '1': 551}",1024,683
"{'1': 488, '0': 536}",1024,684
"{'0': 517, '1': 507}",1024,685
"{'1': 497, '0': 527}",1024,686
"{'0': 520, '1': 504}",1024,687
"{'0': 488, '1': 536}",1024,688
"{'0': 527, '1': 497}",1024,689
"{'0': 502, '1': 522}",1024,690
"{'1': 515, '0': 509}",1024,691
"{'1': 519, '0': 505}",1024,692
"{'0': 510, '1': 514}",1024,693
"{'1': 500, '0': 524}",1024,694
"{'1': 534, '0': 490}",1024,695
"{'0': 504, '1': 520}",1024,696
